,env,batch_size,use_target,num_hidden,learn_rate,memory_size,discount_factor,run,scores,l2_norms,maxQs,soft_convergence_thresh
20,CartPole-v1,64,250,128,0.001,64,0.8,2,"[10.0, 9.0, 10.0, 10.0, 9.0, 8.0, 11.0, 10.0, 10.0, 10.0]","[tensor(7.3038), tensor(7.3038), tensor(7.3038), tensor(7.3038), tensor(7.3038), tensor(7.3038), tensor(7.3031), tensor(7.3065), tensor(7.3145), tensor(7.3178)]","[None, None, None, None, None, None, None, 1.1490473747253418, 1.6620737314224243, 1.877738118171692]",5.000000000000001
21,CartPole-v1,64,250,128,0.001,5000,0.8,2,"[10.0, 9.0, 10.0, 10.0, 9.0, 8.0, 11.0, 10.0, 10.0, 10.0]","[tensor(7.3038), tensor(7.3038), tensor(7.3038), tensor(7.3038), tensor(7.3038), tensor(7.3038), tensor(7.3031), tensor(7.3068), tensor(7.3167), tensor(7.3219)]","[None, None, None, None, None, None, None, 1.0873924493789673, 1.6659828424453735, 1.891232967376709]",5.000000000000001
22,CartPole-v1,64,250,128,0.001,10000,0.8,2,"[10.0, 9.0, 10.0, 10.0, 9.0, 8.0, 11.0, 10.0, 10.0, 10.0]","[tensor(7.3038), tensor(7.3038), tensor(7.3038), tensor(7.3038), tensor(7.3038), tensor(7.3038), tensor(7.3031), tensor(7.3068), tensor(7.3167), tensor(7.3219)]","[None, None, None, None, None, None, None, 1.0873924493789673, 1.6659828424453735, 1.891232967376709]",5.000000000000001
23,CartPole-v1,64,250,128,0.001,20000,0.8,2,"[10.0, 9.0, 10.0, 10.0, 9.0, 8.0, 11.0, 10.0, 10.0, 10.0]","[tensor(7.3038), tensor(7.3038), tensor(7.3038), tensor(7.3038), tensor(7.3038), tensor(7.3038), tensor(7.3031), tensor(7.3068), tensor(7.3167), tensor(7.3219)]","[None, None, None, None, None, None, None, 1.0873924493789673, 1.6659828424453735, 1.891232967376709]",5.000000000000001
24,Acrobot-v1,64,250,256,0.001,64,0.99,0,"[-305.0, -500.0, -443.0, -116.0, -111.0, -160.0, -370.0, -354.0, -348.0, -176.0]","[tensor(14.0969), tensor(14.1280), tensor(14.5223), tensor(14.9229), tensor(15.0886), tensor(15.1753), tensor(15.8994), tensor(16.2230), tensor(16.5628), tensor(16.6396)]","[None, 24.835065841674805, 31.888402938842773, 32.65711975097656, 29.700910568237305, 32.21147537231445, 41.021873474121094, 38.73673629760742, 30.93301010131836, 26.652942657470703]",99.99999999999991
25,Acrobot-v1,64,250,256,0.001,5000,0.99,0,"[-472.0, -183.0, -215.0, -186.0, -305.0, -227.0, -212.0, -253.0, -497.0, -273.0]","[tensor(16.1398), tensor(16.9847), tensor(18.3258), tensor(18.6549), tensor(19.0733), tensor(19.3712), tensor(19.6339), tensor(19.8467), tensor(20.2234), tensor(20.4044)]","[None, 91.30371856689453, 88.91082763671875, 88.67887878417969, 89.3807373046875, 89.69100952148438, 90.74504089355469, 91.028076171875, 91.54415893554688, 90.65803527832031]",99.99999999999991
26,Acrobot-v1,64,250,256,0.001,10000,0.99,0,"[-472.0, -183.0, -215.0, -186.0, -305.0, -227.0, -212.0, -253.0, -497.0, -273.0]","[tensor(16.1398), tensor(16.9847), tensor(18.3258), tensor(18.6549), tensor(19.0733), tensor(19.3712), tensor(19.6339), tensor(19.8467), tensor(20.2234), tensor(20.4044)]","[None, 91.30371856689453, 88.91082763671875, 88.67887878417969, 89.3807373046875, 89.69100952148438, 90.74504089355469, 91.028076171875, 91.54415893554688, 90.65803527832031]",99.99999999999991
27,Acrobot-v1,64,250,256,0.001,20000,0.99,0,"[-472.0, -183.0, -215.0, -186.0, -305.0, -227.0, -212.0, -253.0, -497.0, -273.0]","[tensor(16.1398), tensor(16.9847), tensor(18.3258), tensor(18.6549), tensor(19.0733), tensor(19.3712), tensor(19.6339), tensor(19.8467), tensor(20.2234), tensor(20.4044)]","[None, 91.30371856689453, 88.91082763671875, 88.67887878417969, 89.3807373046875, 89.69100952148438, 90.74504089355469, 91.028076171875, 91.54415893554688, 90.65803527832031]",99.99999999999991
28,Acrobot-v1,64,250,256,0.001,64,0.99,0,"[-333.0, -305.0, -500.0, -500.0, -500.0, -500.0, -500.0, -500.0, -500.0, -500.0]","[tensor(12.5505), tensor(14.8929), tensor(14.9050), tensor(14.7333), tensor(14.7035), tensor(14.6989), tensor(14.6986), tensor(14.7001), tensor(14.7003), tensor(14.6972)]","[None, 51.463890075683594, 51.7966423034668, 21.422460556030273, 19.766759872436523, 19.100128173828125, 19.369064331054688, 19.375288009643555, 19.566049575805664, 19.096982955932617]",99.99999999999991
29,Acrobot-v1,64,250,256,0.001,5000,0.99,0,"[-472.0, -500.0, -189.0, -207.0, -175.0, -219.0, -176.0, -205.0, -223.0, -193.0]","[tensor(16.3481), tensor(16.3980), tensor(16.3980), tensor(16.3980), tensor(16.3980), tensor(16.3980), tensor(16.3980), tensor(16.3980), tensor(16.3980), tensor(16.3980)]","[None, 176.6057586669922, 170.82786560058594, 170.82786560058594, 170.82786560058594, 170.82786560058594, 170.82786560058594, 170.82786560058594, 170.82786560058594, 170.82786560058594]",99.99999999999991
30,Acrobot-v1,64,250,256,0.001,10000,0.99,0,"[-472.0, -500.0, -189.0, -207.0, -175.0, -219.0, -176.0, -205.0, -223.0, -193.0]","[tensor(16.3481), tensor(16.3980), tensor(16.3980), tensor(16.3980), tensor(16.3980), tensor(16.3980), tensor(16.3980), tensor(16.3980), tensor(16.3980), tensor(16.3980)]","[None, 176.6057586669922, 170.82786560058594, 170.82786560058594, 170.82786560058594, 170.82786560058594, 170.82786560058594, 170.82786560058594, 170.82786560058594, 170.82786560058594]",99.99999999999991
